collision_index,collision_year,collision_ref_no,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,collision_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail_historic,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control_historic,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards_historic,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,enhanced_severity_collision,collision_injury_based,collision_adjusted_severity_serious,collision_adjusted_severity_slight,year,month,month_name,day,weekday,quarter,hour,time_bucket,is_weekend
2021131087922,2021,131087922,418715.0,445509.0,-1.716634,53.905423,13,2,2,3,2021-09-15,4,1900-01-01 09:00:00,-1,E08000035,E08000035,E08000035,3,660,6,50,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,E01011573,6,1,1.0,0.0,2021,9,September,15,Wednesday,3,9,Morning,False
2024501412766,2024,501412766,293584.0,93239.0,-3.50914,50.72899,50,3,1,1,2024-02-22,5,1900-01-01 08:15:00,-1,E07000041,E10000008,E10000008,6,0,6,20,-1,16,4,6,0,-1,-1,0,1,1,2,-1,-1,0,1,1,2,E01020008,3,1,0.0,1.0,2024,2,February,22,Thursday,1,8,Morning,False
2025161584484,2025,161584484,507963.0,431956.0,-0.36333,53.77276,16,3,2,1,2025-05-01,5,1900-01-01 13:08:00,-1,E06000010,E06000010,E06000010,6,0,6,30,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,E01012914,3,1,0.0,1.0,2025,5,May,1,Thursday,2,13,Afternoon,False
2024141434098,2024,141434098,434093.0,397008.0,-1.48789,53.46871,14,3,2,1,2024-04-21,1,1900-01-01 12:09:00,-1,E08000019,E08000019,E08000039,6,0,6,30,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,E01007901,3,1,0.0,1.0,2024,4,April,21,Sunday,2,12,Afternoon,True
2022010367572,2022,010367572,530820.0,171648.0,-0.119634,51.428747,1,3,1,1,2022-03-25,6,1900-01-01 15:15:00,-1,E09000022,E09000022,E09000022,5,0,6,20,3,13,4,6,0,0,1,13,1,9,1,0,0,0,1,1,2,E01003154,-1,0,0.0,1.0,2022,3,March,25,Friday,1,15,Afternoon,False
2023211309251,2023,211309251,375437.0,321283.0,-2.365663,52.788556,21,3,2,1,2023-05-14,1,1900-01-01 15:26:00,-1,E07000197,E10000028,E10000028,3,519,6,40,3,13,4,6,0,0,0,0,1,1,1,0,0,0,2,3,2,E01029708,3,1,0.0,1.0,2023,5,May,14,Sunday,2,15,Afternoon,True
2023131384627,2023,131384627,410743.0,415199.0,-1.839013,53.633209,13,2,5,1,2023-12-05,3,1900-01-01 01:15:00,-1,E08000034,E08000034,E08000034,6,0,6,30,0,0,-1,0,-1,0,0,0,4,2,2,0,0,0,1,1,2,E01011154,7,1,1.0,0.0,2023,12,December,5,Tuesday,4,1,Night,False
2023010448944,2023,010448944,533121.0,194087.0,-0.078082,51.629857,1,3,2,1,2023-06-14,4,1900-01-01 10:45:00,-1,E09000010,E09000010,E09000010,3,10,3,40,7,17,2,4,154,0,5,15,1,1,1,0,0,0,1,1,2,E01001461,-1,0,0.0,1.0,2023,6,June,14,Wednesday,2,10,Morning,False
2024471445440,2024,471445440,559206.0,100245.0,0.25689,50.77993,47,3,2,1,2024-05-21,3,1900-01-01 09:15:00,-1,E07000061,E10000011,E10000011,6,0,6,30,-1,16,4,6,0,-1,-1,0,1,1,2,-1,-1,0,1,1,2,E01020940,3,1,0.0,1.0,2024,5,May,21,Tuesday,2,9,Morning,False
2023010419792,2023,010419792,515536.0,188032.0,-0.334016,51.57932,1,2,1,1,2023-01-05,5,1900-01-01 14:50:00,-1,E09000015,E09000015,E09000015,6,0,6,20,0,0,-1,0,-1,0,5,15,1,1,1,0,0,0,1,1,2,E01002126,-1,0,1.0,0.0,2023,1,January,5,Thursday,1,14,Afternoon,False
2024501470625,2024,501470625,249512.0,59952.0,-4.11972,50.4201,50,2,2,3,2024-05-15,4,1900-01-01 13:46:00,-1,E06000026,E06000026,E06000026,3,386,6,30,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,E01015092,5,1,1.0,0.0,2024,5,May,15,Wednesday,2,13,Afternoon,False
2022411136616,2022,411136616,538082.0,226013.0,0.00623,51.915535,41,3,2,3,2022-01-13,5,1900-01-01 16:57:00,-1,E07000242,E10000015,E10000015,3,10,3,70,0,0,-1,0,-1,0,0,0,6,1,2,0,0,0,2,1,2,E01023494,3,1,0.0,1.0,2022,1,January,13,Thursday,1,16,Afternoon,False
2025451560692,2025,451560692,527496.0,142504.0,-0.17782,51.16758,45,3,2,2,2025-03-03,2,1900-01-01 23:20:00,-1,E07000210,E10000030,E10000030,3,23,1,30,-1,0,-1,0,-1,-1,-1,15,4,1,4,-1,-1,0,2,1,2,E01030531,3,1,0.0,1.0,2025,3,March,3,Monday,1,23,Night,False
2021010292533,2021,010292533,539850.0,174986.0,0.011516,51.456586,1,3,2,1,2021-02-12,6,1900-01-01 21:05:00,-1,E09000023,E09000023,E09000023,3,2212,3,30,7,17,2,3,20,0,5,15,4,1,1,0,0,0,1,1,2,E01003286,-1,0,0.0,1.0,2021,2,February,12,Friday,1,21,Night,False
2021610020321,2021,610020321,332922.0,189675.0,-2.96991,51.601905,61,3,2,1,2021-01-27,4,1900-01-01 20:50:00,-1,W06000022,W06000022,W06000022,6,0,6,30,9,19,4,6,0,0,0,0,1,1,2,0,0,0,1,2,-1,W01001615,-1,0,0.02497,0.97503,2021,1,January,27,Wednesday,1,20,Evening,False
2023010449721,2023,010449721,504508.0,177689.0,-0.496173,51.488504,1,3,2,1,2023-06-17,7,1900-01-01 14:15:00,-1,E09000017,E09000017,E09000017,1,25,3,60,99,-1,9,6,0,0,0,0,1,1,1,0,0,0,2,3,1,E01002444,-1,0,0.0,1.0,2023,6,June,17,Saturday,2,14,Afternoon,True
2023991302682,2023,991302682,264086.0,664363.0,-4.172714,55.853251,99,3,2,1,2023-05-01,2,1900-01-01 08:17:00,-1,S12000049,S12000049,S12000049,6,0,6,30,9,19,4,6,0,0,0,0,1,1,1,0,0,0,1,1,-1,-1,3,1,0.0,1.0,2023,5,May,1,Monday,2,8,Morning,False
2025221542433,2025,221542433,361682.0,299791.0,-2.5671,52.59455,22,2,2,2,2025-01-02,5,1900-01-01 11:45:00,-1,E06000051,E06000051,E06000051,3,458,6,30,-1,13,4,4,4371,-1,-1,0,1,1,4,-1,-1,0,2,1,2,E01028852,6,1,1.0,0.0,2025,1,January,2,Thursday,1,11,Morning,False
2024010506003,2024,010506003,527057.0,185380.0,-0.16879,51.55301,1,2,4,1,2024-04-20,7,1900-01-01 13:25:00,-1,E09000007,E09000007,E09000007,3,502,6,20,7,17,4,4,518,0,4,14,1,1,1,0,0,0,1,1,2,E01000898,-1,0,1.0,0.0,2024,4,April,20,Saturday,2,13,Afternoon,True
2024101492603,2024,101492603,435409.0,568365.0,-1.44789,55.00859,10,3,1,1,2024-09-17,3,1900-01-01 17:36:00,-1,E08000022,E08000022,E08000022,4,143,6,20,-1,19,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,E01008524,3,1,0.0,1.0,2024,9,September,17,Tuesday,3,17,Evening,False
2021010317920,2021,010317920,526899.0,178494.0,-0.173525,51.491162,1,3,1,1,2021-07-07,4,1900-01-01 19:07:00,-1,E09000020,E09000020,E09000020,6,0,6,20,3,13,4,3,308,0,1,13,1,1,1,0,0,0,1,1,2,E01002822,-1,0,0.0,1.0,2021,7,July,7,Wednesday,3,19,Evening,False
2025201601649,2025,201601649,395052.0,287388.0,-2.07429,52.48439,20,2,2,2,2025-06-11,4,1900-01-01 19:08:00,-1,E08000027,E08000027,E08000027,3,459,6,30,-1,16,2,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,E01009875,5,1,1.0,0.0,2025,6,June,11,Wednesday,2,19,Evening,False
2021302100396,2021,302100396,420514.0,386524.0,-1.693116,53.375196,30,3,1,1,2021-03-21,1,1900-01-01 13:20:00,-1,E07000037,E10000007,E10000007,3,57,6,50,0,0,-1,0,-1,0,0,0,1,1,1,7,0,15,2,1,2,E01019736,-1,0,0.10379,0.89621,2021,3,March,21,Sunday,1,13,Afternoon,True
2024161396807,2024,161396807,511802.0,429738.0,-0.30591,53.75203,16,3,2,1,2024-01-06,7,1900-01-01 20:15:00,-1,E06000010,E06000010,E06000010,6,0,6,30,-1,0,-1,6,0,-1,-1,0,4,1,1,-1,-1,0,1,2,2,E01012900,3,1,0.0,1.0,2024,1,January,6,Saturday,1,20,Evening,True
2023221348790,2023,221348790,391337.0,279998.0,-2.128802,52.417907,22,2,2,2,2023-09-04,2,1900-01-01 20:45:00,-1,E07000234,E10000034,E10000034,3,491,3,60,5,0,4,6,0,0,0,0,7,1,1,0,0,0,2,1,2,E01032138,7,1,1.0,0.0,2023,9,September,4,Monday,3,20,Evening,False
2024421521357,2024,421521357,578160.0,234186.0,0.5926,51.97757,42,3,1,1,2024-11-25,2,1900-01-01 15:33:00,-1,E07000067,E10000012,E10000012,6,0,6,30,-1,13,4,3,1017,-1,-1,0,1,1,1,-1,-1,0,2,3,2,E01021397,3,1,0.0,1.0,2024,11,November,25,Monday,4,15,Afternoon,False
2021201143657,2021,201143657,394764.0,298561.0,-2.078706,52.584845,20,2,2,4,2021-07-07,4,1900-01-01 22:44:00,-1,E08000031,E08000031,E08000031,6,0,6,30,3,13,4,6,0,0,0,0,4,8,2,0,0,0,1,1,2,E01010446,7,1,1.0,0.0,2021,7,July,7,Wednesday,3,22,Night,False
2021061106803,2021,061106803,390487.0,386274.0,-2.144446,53.373255,6,3,1,1,2021-11-06,7,1900-01-01 17:03:00,-1,E08000007,E08000007,E08000007,6,0,6,30,0,0,-1,0,-1,0,8,17,4,2,2,0,0,0,1,1,2,E01005813,3,1,0.0,1.0,2021,11,November,6,Saturday,4,17,Evening,True
2021010297918,2021,010297918,530174.0,169206.0,-0.129791,51.406948,1,2,2,1,2021-02-22,2,1900-01-01 15:54:00,-1,E09000008,E09000008,E09000008,6,0,3,20,6,16,4,6,0,0,0,0,1,1,1,1,0,11,1,1,2,E01001088,-1,0,1.0,0.0,2021,2,February,22,Monday,1,15,Afternoon,False
2021471083748,2021,471083748,531417.0,104845.0,-0.135362,50.828229,47,2,1,1,2021-09-03,6,1900-01-01 16:30:00,-1,E06000043,E06000043,E06000043,3,23,6,20,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,1,1,2,E01016964,7,1,1.0,0.0,2021,9,September,3,Friday,3,16,Afternoon,False
2024052401693,2024,052401693,341729.0,398760.0,-2.87956,53.48232,5,3,2,1,2024-08-05,2,1900-01-01 15:24:00,-1,E08000011,E08000011,E08000011,6,0,6,20,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,1,2,E01006437,-1,0,0.07609,0.92391,2024,8,August,5,Monday,3,15,Afternoon,False
202517S213025,2025,17S213025,444800.0,526055.0,-1.3076,54.62765,17,2,1,1,2025-10-13,2,1900-01-01 14:42:00,-1,E06000004,E06000004,E06000004,3,689,3,50,-1,0,-1,0,-1,-1,-1,0,1,1,1,-1,-1,0,2,1,2,E01012297,7,1,1.0,0.0,2025,10,October,13,Monday,4,14,Afternoon,False
2021361093532,2021,361093532,602493.0,292929.0,0.981596,52.496681,36,2,1,1,2021-09-21,3,1900-01-01 20:50:00,-1,E07000143,E10000020,E10000020,3,11,1,60,0,0,-1,0,-1,0,0,0,4,1,1,0,0,0,2,1,1,E01026422,6,1,1.0,0.0,2021,9,September,21,Tuesday,3,20,Evening,False
2021421074839,2021,421074839,600454.0,224553.0,0.911199,51.883501,42,3,2,1,2021-08-08,1,1900-01-01 14:41:00,-1,E07000071,E10000012,E10000012,6,0,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,2,2,E01021686,3,1,0.0,1.0,2021,8,August,8,Sunday,3,14,Afternoon,True
2022201256454,2022,201256454,397927.0,297605.0,-2.032022,52.576259,20,3,2,2,2022-04-20,4,1900-01-01 15:55:00,-1,E08000030,E08000030,E08000030,6,0,6,30,6,16,2,6,0,0,5,15,1,1,1,0,0,0,1,2,2,E01010264,3,1,0.0,1.0,2022,4,April,20,Wednesday,2,15,Afternoon,False
2021991114768,2021,991114768,248842.0,635764.0,-4.400171,55.591973,99,3,2,1,2021-11-26,6,1900-01-01 15:15:00,-1,S12000008,S12000008,S12000008,3,719,6,60,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,-1,-1,3,1,0.0,1.0,2021,11,November,26,Friday,4,15,Afternoon,False
2021991088560,2021,991088560,243662.0,661750.0,-4.497127,55.8236,99,2,2,5,2021-09-16,5,1900-01-01 15:20:00,-1,S12000038,S12000038,S12000038,6,0,6,60,0,0,-1,0,-1,0,0,0,1,1,2,0,0,0,2,1,-1,-1,6,1,1.0,0.0,2021,9,September,16,Thursday,3,15,Afternoon,False
2024141440953,2024,141440953,434788.0,387799.0,-1.47843,53.3859,14,3,2,1,2024-05-09,5,1900-01-01 15:47:00,-1,E08000019,E08000019,E08000039,6,0,6,30,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,E01033276,3,1,0.0,1.0,2024,5,May,9,Thursday,2,15,Afternoon,False
2025010606437,2025,010606437,534048.0,174635.0,-0.0721,51.45483,1,3,2,1,2025-10-29,4,1900-01-01 19:00:00,-1,E09000028,E09000028,E09000028,6,0,6,20,-1,16,9,6,0,-1,-1,-1,4,1,2,-1,-1,-1,1,3,2,E01003954,3,1,0.0,1.0,2025,10,October,29,Wednesday,4,19,Evening,False
2023320733128,2023,320733128,511295.0,401081.0,-0.323824,53.494671,32,3,2,1,2023-11-27,2,1900-01-01 15:25:00,-1,E07000142,E10000019,E10000019,6,0,6,30,3,13,4,6,0,0,0,0,4,2,2,0,0,0,2,1,2,E01026368,-1,0,0.02301,0.97699,2023,11,November,27,Monday,4,15,Afternoon,False
2023211315056,2023,211315056,380618.0,325519.0,-2.289092,52.826847,21,3,1,1,2023-06-04,1,1900-01-01 06:23:00,-1,E07000197,E10000028,E10000028,6,0,6,60,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,E01029708,3,1,0.0,1.0,2023,6,June,4,Sunday,2,6,Morning,True
2023052301594,2023,052301594,340913.0,400187.0,-2.892119,53.495053,5,3,1,1,2023-07-02,1,1900-01-01 00:15:00,-1,E08000011,E08000011,E08000011,6,0,6,20,0,0,-1,0,-1,0,0,0,4,1,1,0,0,0,1,2,2,E01006495,-1,0,0.07526,0.92474,2023,7,July,2,Sunday,3,0,Night,True
2021471046584,2021,471046584,542520.0,115419.0,0.026305,50.920632,47,3,3,1,2021-05-17,2,1900-01-01 08:15:00,-1,E07000063,E10000011,E10000011,6,0,6,60,0,0,-1,0,-1,0,0,0,1,1,2,0,0,0,2,3,2,E01021022,3,1,0.0,1.0,2021,5,May,17,Monday,2,8,Morning,False
2021041038567,2021,041038567,343126.0,462643.0,-2.870302,54.056597,4,3,2,1,2021-04-09,6,1900-01-01 18:20:00,-1,E07000121,E10000017,E10000017,4,5273,6,40,3,13,4,6,0,0,0,0,7,8,1,0,0,0,2,2,2,E01025171,3,1,0.0,1.0,2021,4,April,9,Friday,2,18,Evening,False
2021302100901,2021,302100901,452656.0,374364.0,-1.212038,53.26369,30,3,2,1,2021-06-19,7,1900-01-01 14:30:00,-1,E07000033,E10000007,E10000007,6,0,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,2,2,2,E01019497,-1,0,0.0328,0.9672,2021,6,June,19,Saturday,2,14,Afternoon,True
2025501642044,2025,501642044,294650.0,91980.0,-3.49368,50.71787,50,3,2,1,2025-09-15,2,1900-01-01 18:00:00,-1,E07000041,E10000008,E10000008,6,0,6,20,-1,16,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,3,2,E01020027,3,1,0.0,1.0,2025,9,September,15,Monday,3,18,Evening,False
2023461383364,2023,461383364,558460.0,173348.0,0.2784,51.436973,46,3,6,2,2023-12-06,4,1900-01-01 10:35:00,-1,E07000107,E10000016,E10000016,4,255,3,50,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,E01024172,3,1,0.0,1.0,2023,12,December,6,Wednesday,4,10,Morning,False
2024302400098,2024,302400098,433493.0,336261.0,-1.50327,52.92272,30,2,2,1,2024-01-19,6,1900-01-01 16:30:00,-1,E06000015,E06000015,E06000015,6,0,6,30,3,13,4,6,0,0,0,0,4,1,2,0,0,0,1,1,2,E01013550,-1,0,1.0,0.0,2024,1,January,19,Friday,1,16,Afternoon,False
2025161637407,2025,161637407,529423.0,406595.0,-0.04845,53.54006,16,3,3,1,2025-09-04,5,1900-01-01 09:00:00,-1,E06000012,E06000012,E06000012,3,1098,3,30,-1,17,2,6,0,-1,-1,14,1,1,2,-1,-1,0,2,2,2,E01013170,3,1,0.0,1.0,2025,9,September,4,Thursday,3,9,Morning,False
2023451283760,2023,451283760,537401.0,153237.0,-0.03213,51.261743,45,3,2,1,2023-03-06,2,1900-01-01 08:53:00,-1,E07000215,E10000030,E10000030,1,25,3,70,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,3,1,E01030838,3,1,0.0,1.0,2023,3,March,6,Monday,1,8,Morning,False
2022351237305,2022,351237305,521017.0,257661.0,-0.230546,52.203901,35,2,1,2,2022-10-26,4,1900-01-01 08:48:00,-1,E07000011,E10000003,E10000003,4,1046,6,60,0,0,-1,0,-1,0,0,0,1,1,2,0,0,0,2,1,2,E01018135,7,1,1.0,0.0,2022,10,October,26,Wednesday,4,8,Morning,False
2021031032838,2021,031032838,350669.0,489496.0,-2.7595,54.298691,3,3,2,1,2021-04-05,2,1900-01-01 13:47:00,-1,E07000031,E10000006,E06000064,3,591,3,70,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,E01019383,3,1,0.0,1.0,2021,4,April,5,Monday,2,13,Afternoon,False
2024131446868,2024,131446868,415049.0,435519.0,-1.77291,53.81574,13,3,2,1,2024-05-22,4,1900-01-01 17:02:00,-1,E08000032,E08000032,E08000032,3,650,6,30,-1,16,2,6,0,-1,-1,14,1,2,2,-1,-1,0,1,2,2,E01010793,3,1,0.0,1.0,2024,5,May,22,Wednesday,2,17,Evening,False
2022010377710,2022,010377710,525231.0,187365.0,-0.194411,51.571257,1,3,1,1,2022-05-18,4,1900-01-01 17:10:00,-1,E09000003,E09000003,E09000003,6,0,2,20,0,0,-1,0,-1,9,9,99,1,1,1,9,0,0,1,3,2,E01000146,-1,0,0.0,1.0,2022,5,May,18,Wednesday,2,17,Evening,False
2023211349771,2023,211349771,394337.0,305356.0,-2.085133,52.645912,21,3,1,2,2023-09-06,4,1900-01-01 22:00:00,-1,E07000196,E10000028,E10000028,6,0,6,30,0,0,-1,0,-1,0,0,0,4,1,1,0,0,0,2,1,2,E01029635,3,1,0.0,1.0,2023,9,September,6,Wednesday,3,22,Night,False
2022101246981,2022,101246981,431680.0,565592.0,-1.506499,54.983927,10,3,2,1,2022-11-25,6,1900-01-01 09:00:00,-1,E08000023,E08000023,E08000023,4,1297,1,30,1,0,4,5,0,0,0,0,1,1,1,0,0,0,1,3,2,E01008639,3,1,0.0,1.0,2022,11,November,25,Friday,4,9,Morning,False
2022010391649,2022,010391649,520711.0,186378.0,-0.259936,51.563372,1,3,2,1,2022-07-30,7,1900-01-01 14:00:00,-1,E09000005,E09000005,E09000005,3,4088,3,30,3,13,4,6,0,0,9,0,1,1,1,9,0,0,1,3,2,E01000626,-1,0,0.0,1.0,2022,7,July,30,Saturday,3,14,Afternoon,True
202234WNC1282,2022,34WNC1282,476332.0,260916.0,-0.883526,52.24115,34,3,2,1,2022-02-04,6,1900-01-01 17:25:00,-1,E06000062,E06000062,E06000062,3,4500,6,30,0,0,-1,0,-1,0,0,0,4,1,1,0,0,0,1,3,2,E01027228,-1,0,0.0,1.0,2022,2,February,4,Friday,1,17,Evening,False
2023501321513,2023,501321513,250719.0,53063.0,-4.100004,50.358498,50,3,2,1,2023-05-20,7,1900-01-01 12:15:00,-1,E06000026,E06000026,E06000026,6,0,6,30,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,1,3,2,E01015136,3,1,0.0,1.0,2023,5,May,20,Saturday,2,12,Afternoon,True
2024991433682,2024,991433682,282352.0,667410.0,-3.88244,55.88542,99,2,3,3,2024-04-19,6,1900-01-01 19:30:00,-1,S12000050,S12000050,S12000050,3,89,6,60,-1,13,4,4,825,-1,-1,0,1,1,1,-1,-1,0,2,2,-1,-1,7,1,1.0,0.0,2024,4,April,19,Friday,2,19,Evening,False
2024070961900,2024,070961900,340486.0,365107.0,-2.89195,53.17972,7,3,1,1,2024-11-13,4,1900-01-01 13:00:00,-1,E06000050,E06000050,E06000050,6,0,6,20,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,1,2,2,E01018342,3,1,0.0,1.0,2024,11,November,13,Wednesday,4,13,Afternoon,False
2024122500203,2024,122500203,464849.0,425094.0,-1.0188,53.71824,12,3,1,1,2024-12-21,7,1900-01-01 12:24:00,-1,E06000065,E06000065,E06000065,3,1041,6,60,0,0,-1,0,-1,0,0,0,1,4,2,0,0,0,2,1,2,E01027883,-1,0,0.10577,0.89423,2024,12,December,21,Saturday,4,12,Afternoon,True
2024631421492,2024,631421492,278995.0,209675.0,-3.75517,51.77263,63,2,2,1,2024-03-16,7,1900-01-01 17:50:00,-1,W06000023,W06000023,W06000023,6,0,6,20,-1,0,-1,-1,-1,-1,-1,0,1,2,2,-1,-1,0,1,1,-1,W01000502,6,1,1.0,0.0,2024,3,March,16,Saturday,1,17,Evening,True
2024131397838,2024,131397838,407330.0,442151.0,-1.89,53.87551,13,3,3,1,2024-01-12,6,1900-01-01 10:30:00,-1,E08000032,E08000032,E08000032,4,6265,6,30,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,13,1,1,2,E01010708,3,1,0.0,1.0,2024,1,January,12,Friday,1,10,Morning,False
2023201309218,2023,201309218,394457.0,301528.0,-2.083294,52.611501,20,3,2,1,2023-05-10,4,1900-01-01 07:30:00,-1,E08000031,E08000031,E08000031,6,0,1,30,1,0,4,6,0,0,0,0,1,1,1,0,0,0,1,3,2,E01010457,3,1,0.0,1.0,2023,5,May,10,Wednesday,2,7,Morning,False
2021231093101,2021,231093101,419877.0,255342.0,-1.710606,52.195973,23,3,1,1,2021-09-02,5,1900-01-01 21:35:00,-1,E07000221,E10000031,E10000031,3,4390,6,30,3,13,2,3,3400,0,5,15,4,1,1,0,0,0,1,3,2,E01031229,3,1,0.0,1.0,2021,9,September,2,Thursday,3,21,Night,False
2025401679569,2025,401679569,505378.0,248876.0,-0.46202,52.12816,40,2,1,2,2025-12-06,7,1900-01-01 16:55:00,-1,E06000055,E06000055,E06000055,3,600,6,30,-1,16,2,6,0,-1,-1,15,4,2,2,-1,-1,-1,1,3,2,E01017522,5,1,1.0,0.0,2025,12,December,6,Saturday,4,16,Afternoon,True
2024421427260,2024,421427260,616923.0,217174.0,1.14546,51.81109,42,3,1,1,2024-04-02,3,1900-01-01 14:07:00,-1,E07000076,E10000012,E10000012,3,133,1,60,-1,-1,4,6,0,-1,-1,0,1,1,1,-1,-1,0,2,1,2,E01022039,3,1,0.0,1.0,2024,4,April,2,Tuesday,2,14,Afternoon,False
2021461066336,2021,461066336,629027.0,150377.0,1.277427,51.206664,46,2,2,2,2021-04-04,1,1900-01-01 00:25:00,-1,E07000108,E10000016,E10000016,6,0,6,60,0,0,-1,0,-1,0,0,0,6,1,1,0,0,0,2,1,2,E01024205,7,1,1.0,0.0,2021,4,April,4,Sunday,2,0,Night,True
2021010288951,2021,010288951,519308.0,183543.0,-0.281105,51.538191,1,3,2,1,2021-01-15,6,1900-01-01 16:29:00,-1,E09000005,E09000005,E09000005,3,406,7,20,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,1,3,2,E01000600,-1,0,0.0,1.0,2021,1,January,15,Friday,1,16,Afternoon,False
2021010329441,2021,010329441,532812.0,183095.0,-0.086671,51.531152,1,2,1,1,2021-09-06,2,1900-01-01 10:52:00,-1,E09000012,E09000012,E09000012,4,101,6,20,6,16,2,5,0,0,4,14,1,1,1,0,0,0,1,1,2,E01001783,-1,0,1.0,0.0,2021,9,September,6,Monday,3,10,Morning,False
2021010297355,2021,10297355,544557.0,184534.0,0.083127,51.5412,1,3,2,1,2021-03-18,5,1900-01-01 07:41:00,-1,E09000002,E09000002,E09000002,3,123,1,20,99,-1,9,3,124,0,0,0,1,1,9,0,0,0,1,3,2,E01000009,-1,0,0.0,1.0,2021,3,March,18,Thursday,1,7,Morning,False
2023430250152,2023,430250152,469673.0,173024.0,-0.998714,51.451924,43,3,2,1,2023-06-07,4,1900-01-01 15:59:00,-1,E06000038,E06000038,E06000038,6,0,6,30,0,0,-1,0,-1,0,1,13,1,1,1,0,0,0,1,1,2,E01016357,-1,0,0.05489,0.94511,2023,6,June,7,Wednesday,2,15,Afternoon,False
2021440409025,2021,440409025,465993.0,101828.0,-1.064669,50.812241,44,3,2,1,2021-09-30,5,1900-01-01 07:15:00,-1,E06000044,E06000044,E06000044,3,288,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,2,2,E01017042,-1,0,0.0,1.0,2021,9,September,30,Thursday,3,7,Morning,False
2025311634725,2025,311634725,454616.0,340812.0,-1.18836,52.9619,31,3,2,1,2025-08-28,5,1900-01-01 21:10:00,-1,E06000018,E06000018,E06000018,6,0,6,30,-1,13,3,6,0,-1,-1,0,7,1,1,-1,-1,0,1,2,2,E01013932,3,1,0.0,1.0,2025,8,August,28,Thursday,3,21,Night,False
2021010344957,2021,010344957,518568.0,190070.0,-0.289569,51.597008,1,2,2,1,2021-11-19,6,1900-01-01 23:49:00,-1,E09000015,E09000015,E09000015,6,0,6,30,0,0,-1,0,-1,0,0,0,4,1,1,0,0,0,1,1,2,E01002200,-1,0,1.0,0.0,2021,11,November,19,Friday,4,23,Night,False
2025340WN1012,2025,340WN1012,481399.0,262139.0,-0.80904,52.25142,34,3,2,1,2025-02-28,6,1900-01-01 16:20:00,-1,E06000062,E06000062,E06000062,3,45,1,70,-1,19,4,3,5076,-1,-1,0,1,1,1,-1,-1,0,1,3,1,E01027140,3,1,0.0,1.0,2025,2,February,28,Friday,1,16,Afternoon,False
2023010456011,2023,010456011,538871.0,181200.0,-0.00015,51.512668,1,3,2,1,2023-07-19,4,1900-01-01 01:40:00,-1,E09000030,E09000030,E09000030,3,13,2,30,5,0,4,3,1268,0,0,0,4,1,1,0,0,0,1,1,2,E01032778,-1,0,0.0,1.0,2023,7,July,19,Wednesday,3,1,Night,False
2021161019779,2021,161019779,528692.0,409621.0,-0.058237,53.567447,16,3,2,1,2021-02-06,7,1900-01-01 19:00:00,-1,E06000012,E06000012,E06000012,6,0,6,30,3,13,4,6,0,0,0,0,6,2,2,0,0,0,1,1,2,E01013197,3,1,0.0,1.0,2021,2,February,6,Saturday,1,19,Evening,True
2021211149699,2021,211149699,398485.0,356230.0,-2.024079,53.103281,21,3,3,2,2021-05-09,1,1900-01-01 11:41:00,-1,E07000198,E10000028,E10000028,6,0,6,30,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,1,2,2,E01029805,3,1,0.0,1.0,2021,5,May,9,Sunday,2,11,Morning,True
